"","pathway","N","DE","P.DE","FDR","mean_change_PM_vs_BM","dir","subset"
"425","GO:0032412 regulation of ion transmembrane transporter activity",86,63,0.00776989527834266,0.314123154523491,-0.00972613394198075,"hypo","Biological processes"
"426","GO:0006511 ubiquitin-dependent protein catabolic process",384,245,0.00779825649789087,0.314529678748265,0.000898913102495258,"hyper","Biological processes"
"427","GO:0021988 olfactory lobe development",28,24,0.00782719294877683,0.314957445540711,0.00885371168360643,"hyper","Biological processes"
"428","GO:0000989 transcription factor binding transcription factor activity",499,317,0.00789050570331886,0.316763245314076,-0.000160642411322121,"hypo","Molecular function"
"429","GO:0006282 regulation of DNA repair",49,36,0.00792880404514346,0.317558767141387,0.00284345123360823,"hyper","Biological processes"
"430","GO:0030863 cortical cytoskeleton",56,43,0.00812259156587671,0.324306253814601,-0.00611294509907088,"hypo","Cellular components"
"431","GO:0007417 central nervous system development",691,445,0.00813502475812437,0.324306253814601,-0.00282030526487332,"hypo","Biological processes"
"432","GO:0060341 regulation of cellular localization",674,416,0.00818879247381026,0.325015078984609,-0.00667119616084711,"hypo","Biological processes"
"433","GO:0031253 cell projection membrane",178,121,0.00820558197592656,0.325015078984609,-0.00681176430056209,"hypo","Cellular components"
"434","GO:0032182 small conjugating protein binding",73,53,0.00820955326966128,0.325015078984609,0.00116871535573411,"hyper","Molecular function"
"435","GO:0008105 asymmetric protein localization",16,15,0.0083003846593776,0.327855653373393,-0.00980624723375275,"hypo","Biological processes"
"436","GO:0070271 protein complex biogenesis",785,480,0.00840990252087296,0.331027497513803,-0.00339910409313195,"hypo","Biological processes"
"437","GO:0007254 JNK cascade",167,115,0.00841921874132999,0.331027497513803,-0.00360595571543867,"hypo","Biological processes"
"438","GO:0043632 modification-dependent macromolecule catabolic process",393,250,0.00853792266412536,0.33492828131279,0.000924127136751441,"hyper","Biological processes"
"439","GO:2000113 negative regulation of cellular macromolecule biosynthetic process",914,567,0.00856612071322977,0.33509504954257,-0.00109708197763357,"hypo","Biological processes"
"440","GO:0045786 negative regulation of cell cycle",449,281,0.0085811792456484,0.33509504954257,-0.00109289510691333,"hypo","Biological processes"
"441","GO:0006163 purine nucleotide metabolic process",683,423,0.00869244815147011,0.338670394872017,-0.00626803644436837,"hypo","Biological processes"
"442","GO:0019199 transmembrane receptor protein kinase activity",82,63,0.0087812667587148,0.341356844905515,-0.011149342106102,"hypo","Molecular function"
"443","GO:0032268 regulation of cellular protein metabolic process",1270,770,0.00880993364475349,0.341698148722696,-0.00303483163873631,"hypo","Biological processes"
"444","GO:0022898 regulation of transmembrane transporter activity",91,66,0.0088346718688846,0.341885882998142,-0.0103824842749269,"hypo","Biological processes"
"445","GO:0008066 glutamate receptor activity",26,23,0.00889941306699492,0.343132607139157,-0.0161663606364409,"hypo","Molecular function"
"446","GO:0052742 phosphatidylinositol kinase activity",14,13,0.00890682940193597,0.343132607139157,-0.00640706094235499,"hypo","Molecular function"
"447","GO:0007265 Ras protein signal transduction",251,172,0.00893785303772289,0.34355747403614,-0.00661507264966328,"hypo","Biological processes"
"448","GO:0031625 ubiquitin protein ligase binding",147,102,0.00916402733269747,0.350682221894004,-0.000968443642948613,"hypo","Molecular function"
"449","GO:0044389 small conjugating protein ligase binding",147,102,0.00916402733269747,0.350682221894004,-0.000968443642948613,"hypo","Molecular function"
"450","GO:0050805 negative regulation of synaptic transmission",29,24,0.0092863062109354,0.354278226881679,-0.0112224199945491,"hypo","Biological processes"
"451","GO:0018024 histone-lysine N-methyltransferase activity",40,32,0.00929923642903255,0.354278226881679,-0.00301756513079037,"hypo","Molecular function"
"452","GO:0016887 ATPase activity",353,229,0.00937250525301378,0.355457859907733,-0.00493808974940846,"hypo","Molecular function"
"453","GO:0030808 regulation of nucleotide biosynthetic process",101,69,0.0093922633219713,0.355457859907733,-0.00603334958250208,"hypo","Biological processes"
"454","GO:1900371 regulation of purine nucleotide biosynthetic process",101,69,0.0093922633219713,0.355457859907733,-0.00603334958250208,"hypo","Biological processes"
"455","GO:0019902 phosphatase binding",115,83,0.00946286676989345,0.356748022361618,0.0016544583650311,"hyper","Molecular function"
"456","GO:0007269 neurotransmitter secretion",99,72,0.00946787907094039,0.356748022361618,-0.0119257576390833,"hypo","Biological processes"
"457","GO:0006473 protein acetylation",134,91,0.00950890334609088,0.35739042983691,-0.0027600019179447,"hypo","Biological processes"
"458","GO:0007167 enzyme linked receptor protein signaling pathway",878,557,0.0095265287431792,0.35739042983691,-0.00397595145203798,"hypo","Biological processes"
"459","GO:0008360 regulation of cell shape",105,76,0.0095696005588366,0.358224132466079,-0.00995951097494839,"hypo","Biological processes"
"460","GO:0006396 RNA processing",643,378,0.00962674166967081,0.359579729061486,-0.00173083694857563,"hypo","Biological processes"
"461","GO:0060828 regulation of canonical Wnt receptor signaling pathway",129,92,0.00979031936382318,0.364896458371388,-0.00228134031274099,"hypo","Biological processes"
"462","GO:0016879 ligase activity, forming carbon-nitrogen bonds",331,212,0.00983256026622355,0.365677598472409,-0.00191877024597764,"hypo","Molecular function"
"463","GO:0030496 midbody",88,62,0.00986631817477707,0.366140559133952,-0.00327262996623902,"hypo","Cellular components"
"464","GO:0007413 axonal fasciculation",15,14,0.0100074492498181,0.369992745239585,-0.00522200733142575,"hypo","Biological processes"
"465","GO:0007184 SMAD protein import into nucleus",18,16,0.0100131897646611,0.369992745239585,0.00495916625525582,"hyper","Biological processes"
"466","GO:0021772 olfactory bulb development",27,23,0.0100805501977194,0.371682432397457,0.00969641156331078,"hyper","Biological processes"
"467","GO:0006461 protein complex assembly",783,478,0.0101250696906881,0.372524512688231,-0.0032984127218689,"hypo","Biological processes"
"468","GO:0048167 regulation of synaptic plasticity",91,67,0.0101919793720177,0.374185020448734,-0.00673657696554458,"hypo","Biological processes"
"469","GO:0051649 establishment of localization in cell",1823,1078,0.0102593581222468,0.375349213781475,-0.00403855726498748,"hypo","Biological processes"
"470","GO:0030136 clathrin-coated vesicle",192,131,0.0102673804258697,0.375349213781475,-0.00527514895771159,"hypo","Cellular components"
"471","GO:0016604 nuclear body",278,179,0.010506622712302,0.382547652737368,0.00114701155084431,"hyper","Cellular components"
"472","GO:0043279 response to alkaloid",92,65,0.0105088169067651,0.382547652737368,-0.0085065144221968,"hypo","Biological processes"
"473","GO:0016884 carbon-nitrogen ligase activity, with glutamine as amido-N-donor",11,10,0.010591768883384,0.384752162694089,-0.00491799876152627,"hypo","Molecular function"
"474","GO:0055082 cellular chemical homeostasis",666,410,0.0106577782085377,0.385824847066254,-0.00757051151718132,"hypo","Biological processes"
"475","GO:0006813 potassium ion transport",119,84,0.0106786020616693,0.385824847066254,-0.0100232295208122,"hypo","Biological processes"
"476","GO:0072657 protein localization to membrane",101,74,0.0106886641370933,0.385824847066254,-0.00837766596642735,"hypo","Biological processes"
"477","GO:0051693 actin filament capping",25,21,0.0108858879517082,0.392120181941823,-0.006622730165105,"hypo","Biological processes"
"478","GO:0009117 nucleotide metabolic process",820,501,0.0109094972572114,0.39214849764311,-0.00616198832146363,"hypo","Biological processes"
"479","GO:0043408 regulation of MAPK cascade",460,294,0.0109603654248558,0.393154485866122,-0.00552708007054401,"hypo","Biological processes"
"480","GO:0000082 G1/S transition of mitotic cell cycle",197,129,0.0110098603346419,0.394107125562121,-0.000850987063805658,"hypo","Biological processes"
"481","GO:0007015 actin filament organization",221,150,0.0110719537362704,0.394660341615114,-0.00487893648967409,"hypo","Biological processes"
"482","GO:0016278 lysine N-methyltransferase activity",45,35,0.011094223315103,0.394660341615114,-0.00181928079627404,"hypo","Molecular function"
"483","GO:0016279 protein-lysine N-methyltransferase activity",45,35,0.011094223315103,0.394660341615114,-0.00181928079627404,"hypo","Molecular function"
"484","GO:0004693 cyclin-dependent protein kinase activity",32,25,0.0111667337567431,0.395867949323276,0.000753965173620155,"hyper","Molecular function"
"485","GO:0048841 regulation of axon extension involved in axon guidance",11,11,0.0111742495298445,0.395867949323276,-0.00337496572967652,"hypo","Biological processes"
"486","GO:0050851 antigen receptor-mediated signaling pathway",118,82,0.011208892451445,0.396278168931539,-0.00481852548310141,"hypo","Biological processes"
"487","GO:0051239 regulation of multicellular organismal process",1812,1095,0.011323664786423,0.397732721468819,-0.00471230116021385,"hypo","Biological processes"
"488","GO:0055086 nucleobase-containing small molecule metabolic process",869,528,0.011331184323571,0.397732721468819,-0.00612675458270852,"hypo","Biological processes"
"489","GO:0048878 chemical homeostasis",873,528,0.0113577117142399,0.397732721468819,-0.00692352233919093,"hypo","Biological processes"
"490","GO:0044087 regulation of cellular component biogenesis",353,230,0.0113600735845535,0.397732721468819,-0.00584011869962043,"hypo","Biological processes"
"491","GO:0030427 site of polarized growth",96,71,0.0113657761751362,0.397732721468819,-0.00864114061299891,"hypo","Cellular components"
"492","GO:0050793 regulation of developmental process",1451,895,0.0114543570262607,0.399213428612553,-0.00327124255408564,"hypo","Biological processes"
"493","GO:0031998 regulation of fatty acid beta-oxidation",14,13,0.0114545582764514,0.399213428612553,-0.014320557430269,"hypo","Biological processes"
"494","GO:0070016 armadillo repeat domain binding",10,10,0.0115320989390302,0.400758601663061,-0.0165134022138494,"hypo","Molecular function"
"495","GO:0070306 lens fiber cell differentiation",22,19,0.0115524418867869,0.400758601663061,-0.0111654511344885,"hypo","Biological processes"
"496","GO:0043623 cellular protein complex assembly",318,200,0.0115843272641658,0.400758601663061,-0.00211393760467995,"hypo","Biological processes"
"497","GO:0051347 positive regulation of transferase activity",445,284,0.011592190957196,0.400758601663061,-0.00467013926270275,"hypo","Biological processes"
"498","GO:0034394 protein localization to cell surface",27,22,0.0116644101191928,0.40244557162243,-0.00241223953949749,"hypo","Biological processes"
"499","GO:0051156 glucose 6-phosphate metabolic process",8,8,0.0118927313728923,0.409500822543156,-0.0161026353958207,"hypo","Biological processes"
"500","GO:0042659 regulation of cell fate specification",18,16,0.0119567392331837,0.410881387009123,-0.00303364789975261,"hypo","Biological processes"
"501","GO:0046873 metal ion transmembrane transporter activity",372,243,0.0119977660787125,0.411468296935005,-0.0122290359332307,"hypo","Molecular function"
"502","GO:0045177 apical part of cell",278,180,0.0120846112780299,0.413068702045866,-0.00820298413137958,"hypo","Cellular components"
"503","GO:0008170 N-methyltransferase activity",67,49,0.0120925129280102,0.413068702045866,-0.00130807732374125,"hypo","Molecular function"
"504","GO:0006886 intracellular protein transport",707,427,0.0121234173529887,0.41330269237907,-0.00127629837113895,"hypo","Biological processes"
"505","GO:0051339 regulation of lyase activity",61,45,0.0124185904788737,0.422527171501005,-0.00523266752950916,"hypo","Biological processes"
"506","GO:0006753 nucleoside phosphate metabolic process",829,505,0.012471192206722,0.423478309280431,-0.00617034063096234,"hypo","Biological processes"
"507","GO:0042588 zymogen granule",10,9,0.0125067706796111,0.423848784649068,-0.0111852252289958,"hypo","Cellular components"
"508","GO:0034330 cell junction organization",199,138,0.0125330331366396,0.423902707389254,-0.00878759229309761,"hypo","Biological processes"
"509","GO:0010564 regulation of cell cycle process",440,274,0.0125852844462272,0.424833707966751,-0.0034878333103904,"hypo","Biological processes"
"510","GO:0042692 muscle cell differentiation",295,198,0.0127410806442868,0.429249505157129,-0.00399908442576251,"hypo","Biological processes"
"511","GO:0019725 cellular homeostasis",750,457,0.0127970630188679,0.430291852818373,-0.0070455527245287,"hypo","Biological processes"
"512","GO:0022037 metencephalon development",76,56,0.0129024375509808,0.432987660158111,-0.00597676096622648,"hypo","Biological processes"
"513","GO:0034605 cellular response to heat",23,19,0.0131592656202663,0.440649441292463,-0.00363503579286791,"hypo","Biological processes"
"514","GO:0002281 macrophage activation involved in immune response",8,8,0.0131820400898805,0.440649441292463,-0.00278093237456809,"hypo","Biological processes"
"515","GO:0044281 small molecule metabolic process",2524,1462,0.013224635519521,0.440879658446642,-0.00668924734197177,"hypo","Biological processes"
"516","GO:0010629 negative regulation of gene expression",898,555,0.0132402458246111,0.440879658446642,-0.00154361787158068,"hypo","Biological processes"
"517","GO:0060113 inner ear receptor cell differentiation",45,35,0.0132862545836115,0.441555950204279,-0.0075624384216438,"hypo","Biological processes"
"518","GO:0043484 regulation of RNA splicing",61,45,0.0136076355934611,0.451363696461096,-0.000788153334320878,"hypo","Biological processes"
"519","GO:0007050 cell cycle arrest",375,233,0.0138524550132658,0.4583073819345,-0.00129933101850439,"hypo","Biological processes"
"520","GO:0005925 focal adhesion",128,92,0.0138703200212979,0.4583073819345,-0.00637900621888246,"hypo","Cellular components"
"521","GO:0050839 cell adhesion molecule binding",54,42,0.0140214949686411,0.462413294723976,-0.00600134450201496,"hypo","Molecular function"
"522","GO:0033674 positive regulation of kinase activity",434,277,0.014453333106839,0.475741703911319,-0.00446240964356326,"hypo","Biological processes"
"523","GO:0050804 regulation of synaptic transmission",175,120,0.0146512727676711,0.481334930581501,-0.00817243885152335,"hypo","Biological processes"
"524","GO:0031279 regulation of cyclase activity",58,43,0.014787567949448,0.484885481884381,-0.00539303510901733,"hypo","Biological processes"
"525","GO:0008757 S-adenosylmethionine-dependent methyltransferase activity",102,70,0.0150083683364861,0.491188161442867,-0.00282317114233375,"hypo","Molecular function"
"526","GO:0002062 chondrocyte differentiation",69,52,0.0150558945551255,0.491806806551647,-0.00612409070994076,"hypo","Biological processes"
"527","GO:0007212 dopamine receptor signaling pathway",29,24,0.0152220518659382,0.496128178042237,-0.00651170695731131,"hypo","Biological processes"
"528","GO:0072659 protein localization to plasma membrane",73,54,0.0152459363290828,0.496128178042237,-0.00745233120017628,"hypo","Biological processes"
"529","GO:0016605 PML body",74,54,0.0154592784390645,0.501670905762938,0.000364944619155173,"hyper","Cellular components"
"530","GO:0051970 negative regulation of transmission of nerve impulse",33,26,0.0154746583665672,0.501670905762938,-0.01069450229022,"hypo","Biological processes"
"531","GO:0044257 cellular protein catabolic process",425,266,0.0155054091809095,0.501721168637263,0.000615885145929975,"hyper","Biological processes"
"532","GO:0030055 cell-substrate junction",139,99,0.0155784255730368,0.50313629360135,-0.00576735315938276,"hypo","Cellular components"
"533","GO:0030802 regulation of cyclic nucleotide biosynthetic process",98,66,0.0156124618372873,0.503224484383248,-0.00531749501404437,"hypo","Biological processes"
"534","GO:0007420 brain development",506,327,0.015639731967213,0.503224484383248,-0.00250809826145775,"hypo","Biological processes"
"535","GO:0002027 regulation of heart rate",57,41,0.0157788469084958,0.506751677722943,-0.0116232441408963,"hypo","Biological processes"
"536","GO:0030835 negative regulation of actin filament depolymerization",28,23,0.0158189285721439,0.507091102101822,-0.00641997363652504,"hypo","Biological processes"
"537","GO:0086091 regulation of heart rate by cardiac conduction",16,14,0.0160010996107886,0.511975593133276,-0.00456727728439946,"hypo","Biological processes"
"538","GO:0042490 mechanoreceptor differentiation",51,39,0.0160965757246665,0.514073167474385,-0.00526610966332524,"hypo","Biological processes"
"539","GO:0009166 nucleotide catabolic process",480,303,0.0162131022209829,0.515928905838784,-0.00557763677705137,"hypo","Biological processes"
"540","GO:0016607 nuclear speck",150,99,0.0162147368847016,0.515928905838784,0.000439576340245081,"hyper","Cellular components"
"541","GO:0043583 ear development",190,129,0.0162800370872423,0.517049163092416,-0.00449049851059406,"hypo","Biological processes"
"542","GO:0043130 ubiquitin binding",61,44,0.0164896873046568,0.522741341824008,-0.000721576739840121,"hypo","Molecular function"
"543","GO:0008038 neuron recognition",30,25,0.0166306237005525,0.524561687768457,-0.00761997801316851,"hypo","Biological processes"
"544","GO:0043197 dendritic spine",140,100,0.0166386986284373,0.524561687768457,-0.0119549427641392,"hypo","Cellular components"
"545","GO:0044309 neuron spine",140,100,0.0166386986284373,0.524561687768457,-0.0119549427641392,"hypo","Cellular components"
"546","GO:0006836 neurotransmitter transport",131,92,0.0166923562822984,0.525289497513648,-0.0107858757579233,"hypo","Biological processes"
"547","GO:0003712 transcription cofactor activity",476,300,0.0167757760091054,0.526949512593144,-7.23322005135442e-05,"hypo","Molecular function"
"548","GO:0030135 coated vesicle",239,158,0.0168871888935464,0.52948116709656,-0.00567974097940509,"hypo","Cellular components"
"549","GO:0001558 regulation of cell growth",287,185,0.0169908977913559,0.53176248788903,-0.00378711351989844,"hypo","Biological processes"
"550","GO:0040036 regulation of fibroblast growth factor receptor signaling pathway",25,21,0.0170418733031694,0.532388121991011,-0.00158182138407454,"hypo","Biological processes"
"551","GO:0032886 regulation of microtubule-based process",91,63,0.0172370979862874,0.537509650817406,-0.000907776038568414,"hypo","Biological processes"
"552","GO:0006904 vesicle docking involved in exocytosis",27,22,0.0173409354254219,0.538525939601211,-0.00775440889961374,"hypo","Biological processes"
"553","GO:0032409 regulation of transporter activity",102,72,0.0173539375122754,0.538525939601211,-0.0112740795532164,"hypo","Biological processes"
"554","GO:0016050 vesicle organization",106,73,0.0173637161296165,0.538525939601211,-0.00791937041526049,"hypo","Biological processes"
"555","GO:0051603 proteolysis involved in cellular protein catabolic process",411,257,0.0175011276853432,0.541809686287508,0.000754725097636113,"hyper","Biological processes"
"556","GO:0051049 regulation of transport",1002,608,0.0176156050609991,0.544372888773538,-0.00618561143335264,"hypo","Biological processes"
"557","GO:0016044 cellular membrane organization",423,269,0.0177167123195869,0.546419972539199,-0.00445843151246014,"hypo","Biological processes"
"558","GO:0016849 phosphorus-oxygen lyase activity",21,18,0.0177454513256241,0.546419972539199,-0.0186004042865431,"hypo","Molecular function"
"559","GO:0003306 Wnt receptor signaling pathway involved in heart development",11,10,0.0178663477532228,0.549158474232333,-0.00429286069773606,"hypo","Biological processes"
"560","GO:0004012 phospholipid-translocating ATPase activity",15,14,0.0179399390281194,0.549495086170544,-0.00869765839608419,"hypo","Molecular function"
"561","GO:0043269 regulation of ion transport",279,179,0.0179412608160677,0.549495086170544,-0.00962718931947147,"hypo","Biological processes"
"562","GO:0032880 regulation of protein localization",375,233,0.0179957959795419,0.55013642586818,-0.00413336974820905,"hypo","Biological processes"
"563","GO:0070302 regulation of stress-activated protein kinase signaling cascade",151,103,0.0180748787296699,0.55013642586818,-0.00411431372782525,"hypo","Biological processes"
"564","GO:0048870 cell motility",920,567,0.0180902735779025,0.55013642586818,-0.00592626552056811,"hypo","Biological processes"
"565","GO:0051674 localization of cell",920,567,0.0180902735779025,0.55013642586818,-0.00592626552056811,"hypo","Biological processes"
"566","GO:0005768 endosome",546,339,0.0182490818587566,0.553639819436912,-0.00536606823244478,"hypo","Cellular components"
"567","GO:0043194 axon initial segment",10,10,0.0182823541156498,0.553639819436912,-0.00826299871898059,"hypo","Cellular components"
"568","GO:0090100 positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",66,48,0.0183021427913029,0.553639819436912,-0.00437286472509674,"hypo","Biological processes"
"569","GO:0009791 post-embryonic development",90,63,0.0184914104815294,0.558382099988819,-0.00521416648664256,"hypo","Biological processes"
"570","GO:0090090 negative regulation of canonical Wnt receptor signaling pathway",80,58,0.0186098181294084,0.560868868892889,-0.00579178817833272,"hypo","Biological processes"
"571","GO:0008091 spectrin",9,9,0.0186390480815877,0.560868868892889,-0.0021637815101951,"hypo","Cellular components"
"572","GO:0070932 histone H3 deacetylation",8,8,0.0187376616211272,0.562074433140839,-0.00653371886630271,"hypo","Biological processes"
"573","GO:0090288 negative regulation of cellular response to growth factor stimulus",86,61,0.0187689571552095,0.562074433140839,0.00297796887018763,"hyper","Biological processes"
"574","GO:0050954 sensory perception of mechanical stimulus",136,93,0.0187772508801561,0.562074433140839,-0.00496642603611676,"hypo","Biological processes"
"575","GO:0005516 calmodulin binding",162,112,0.0188763930101835,0.564059451653866,-0.0088655128015848,"hypo","Molecular function"
"576","GO:0008021 synaptic vesicle",95,68,0.0189116941290479,0.564133209245314,-0.00580426714579987,"hypo","Cellular components"
"577","GO:0010639 negative regulation of organelle organization",175,116,0.0189872534090379,0.565405525258387,-0.00234093401735315,"hypo","Biological processes"
"578","GO:0031058 positive regulation of histone modification",35,27,0.0190477341607408,0.566225204757522,-0.0112592133883126,"hypo","Biological processes"
"579","GO:0021516 dorsal spinal cord development",20,17,0.0191915416139031,0.569514797944874,-0.000435565156946538,"hypo","Biological processes"
"580","GO:0030672 synaptic vesicle membrane",47,36,0.0193613476845265,0.573491686659438,-0.00844613594173693,"hypo","Cellular components"
"581","GO:0016917 GABA receptor activity",22,18,0.0193923099725954,0.573491686659438,-0.00457899137001432,"hypo","Molecular function"
"582","GO:0045860 positive regulation of protein kinase activity",412,262,0.019667509837052,0.579634339983764,-0.00403314095351165,"hypo","Biological processes"
"583","GO:0030139 endocytic vesicle",159,106,0.0197719651471398,0.579634339983764,-0.00333659796158162,"hypo","Cellular components"
"584","GO:0060390 regulation of SMAD protein import into nucleus",12,11,0.0197730063071014,0.579634339983764,0.000425321620783678,"hyper","Biological processes"
"585","GO:0071705 nitrogen compound transport",554,340,0.0197880583897871,0.579634339983764,-0.00665187932421522,"hypo","Biological processes"
"586","GO:0009154 purine ribonucleotide catabolic process",426,271,0.0198224628992896,0.579634339983764,-0.0055212047281126,"hypo","Biological processes"
"587","GO:0006475 internal protein amino acid acetylation",120,81,0.0198355880183097,0.579634339983764,-0.00374668391641503,"hypo","Biological processes"
"588","GO:0051130 positive regulation of cellular component organization",490,312,0.0198361652840445,0.579634339983764,-0.0069776514883682,"hypo","Biological processes"
"589","GO:0008652 cellular amino acid biosynthetic process",106,70,0.0198960511095313,0.580397198920147,-0.00527813703644476,"hypo","Biological processes"
"590","GO:0065003 macromolecular complex assembly",1005,590,0.0199411777561317,0.580727654586196,-0.00260805785500216,"hypo","Biological processes"
"591","GO:0034329 cell junction assembly",175,121,0.0201553875277504,0.585502846844343,-0.0083066514443586,"hypo","Biological processes"
"592","GO:0032872 regulation of stress-activated MAPK cascade",150,102,0.0201733026034135,0.585502846844343,-0.00402167769510006,"hypo","Biological processes"
"593","GO:0032000 positive regulation of fatty acid beta-oxidation",8,8,0.0202659429803848,0.587199717182078,-0.0174177859578849,"hypo","Biological processes"
"594","GO:0009186 deoxyribonucleoside diphosphate metabolic process",7,7,0.020493802602147,0.592802216010253,-0.00781842713965484,"hypo","Biological processes"
"595","GO:0030308 negative regulation of cell growth",137,93,0.0205631884395127,0.593809586164214,-0.00372024344763593,"hypo","Biological processes"
"596","GO:0035249 synaptic transmission, glutamatergic",48,37,0.0206637431333932,0.595177048342644,-0.0127515261931302,"hypo","Biological processes"
"597","GO:0090092 regulation of transmembrane receptor protein serine/threonine kinase signaling pathway",163,109,0.02067982178213,0.595177048342644,-0.000412705094968467,"hypo","Biological processes"
"598","GO:0001774 microglial cell activation",6,6,0.0208727949517964,0.598027218501482,-0.00630324416582399,"hypo","Biological processes"
"599","GO:0045184 establishment of protein localization",1289,756,0.0208748271045316,0.598027218501482,-0.00317965674051273,"hypo","Biological processes"
"600","GO:0007605 sensory perception of sound",127,87,0.0208832691829175,0.598027218501482,-0.00412961197184091,"hypo","Biological processes"
"601","GO:0006367 transcription initiation from RNA polymerase II promoter",195,128,0.0209649987704602,0.598939066779672,-0.000448766794607614,"hypo","Biological processes"
"602","GO:0005815 microtubule organizing center",490,307,0.0210100980396413,0.598939066779672,-0.00515494473069438,"hypo","Cellular components"
"603","GO:0051969 regulation of transmission of nerve impulse",197,133,0.021019686722625,0.598939066779672,-0.00790021059206905,"hypo","Biological processes"
"604","GO:0007059 chromosome segregation",145,94,0.0211007849148247,0.600254447692912,-0.000392399340097964,"hypo","Biological processes"
"605","GO:0090407 organophosphate biosynthetic process",521,319,0.0213109343481894,0.603677503658803,-0.00572285475228983,"hypo","Biological processes"
"606","GO:2000736 regulation of stem cell differentiation",21,18,0.0213147693359468,0.603677503658803,-0.00609964060143084,"hypo","Biological processes"
"607","GO:0021696 cerebellar cortex morphogenesis",22,19,0.0213265187242983,0.603677503658803,-0.00303641748630797,"hypo","Biological processes"
"608","GO:0009141 nucleoside triphosphate metabolic process",488,305,0.0213653099732705,0.603780848619628,-0.00577279791531415,"hypo","Biological processes"
"609","GO:0030665 clathrin-coated vesicle membrane",103,72,0.0215113615039412,0.606910038359142,-0.00396410181905839,"hypo","Cellular components"
"610","GO:1901575 organic substance catabolic process",1837,1072,0.021555581110187,0.607160646943006,-0.00379719588542248,"hypo","Biological processes"
"611","GO:0019934 cGMP-mediated signaling",8,8,0.0216280279792641,0.607975690810017,-0.0174602469769994,"hypo","Biological processes"
"612","GO:0008967 phosphoglycolate phosphatase activity",5,5,0.0216552859257205,0.607975690810017,0.00689108954968156,"hyper","Molecular function"
"613","GO:0005924 cell-substrate adherens junction",133,94,0.0217640425184727,0.610032265175202,-0.00571897652921046,"hypo","Cellular components"
"614","GO:0005930 axoneme",72,50,0.0218009780142261,0.610072319609825,-0.00332427922470582,"hypo","Cellular components"
"615","GO:0004714 transmembrane receptor protein tyrosine kinase activity",65,50,0.0218542340470665,0.610568210401133,-0.0127487579708332,"hypo","Molecular function"
"616","GO:0017137 Rab GTPase binding",47,37,0.0219005250113753,0.610868215495862,-0.00961740133037846,"hypo","Molecular function"
"617","GO:0033268 node of Ranvier",14,13,0.0221121731352487,0.615772056417898,-0.00127132423408729,"hypo","Cellular components"
"618","GO:1901880 negative regulation of protein depolymerization",45,34,0.0222860591416357,0.618521406295473,-0.00159807773492065,"hypo","Biological processes"
"619","GO:0061024 membrane organization",428,271,0.0223155790671138,0.618521406295473,-0.0043572031663013,"hypo","Biological processes"
"620","GO:1900542 regulation of purine nucleotide metabolic process",345,222,0.0223222586215243,0.618521406295473,-0.00751001532297493,"hypo","Biological processes"
"621","GO:0042054 histone methyltransferase activity",49,37,0.0223548942678087,0.618521406295473,-0.00306629946239199,"hypo","Molecular function"
"622","GO:0044306 neuron projection terminus",66,48,0.0224514421966378,0.620194019007445,-0.0133953078543634,"hypo","Cellular components"
"623","GO:0030426 growth cone",92,67,0.0226480121353688,0.624619814622643,-0.00825746572400845,"hypo","Cellular components"
"624","GO:0042802 identical protein binding",858,520,0.022842332196758,0.62876312863492,-0.00579969845039486,"hypo","Molecular function"
"625","GO:0048839 inner ear development",163,111,0.0228714326269832,0.62876312863492,-0.00527559268739873,"hypo","Biological processes"
"626","GO:0052652 cyclic purine nucleotide metabolic process",111,73,0.0229262736647732,0.629263952249413,-0.00493109414726938,"hypo","Biological processes"
"627","GO:0072163 mesonephric epithelium development",13,12,0.0230309695308558,0.631129375564855,-0.00508178000168654,"hypo","Biological processes"
"628","GO:0071702 organic substance transport",1952,1136,0.0230940508167569,0.63150153308268,-0.00472513422369155,"hypo","Biological processes"
"629","GO:0048843 negative regulation of axon extension involved in axon guidance",9,9,0.0231193236382657,0.63150153308268,0.000453082517640033,"hyper","Biological processes"
"630","GO:0045926 negative regulation of growth",191,124,0.0231548111885746,0.63150153308268,-0.0051429660923129,"hypo","Biological processes"
"631","GO:0009261 ribonucleotide catabolic process",427,271,0.0232425039295281,0.632047025793068,-0.00547791308693692,"hypo","Biological processes"
"632","GO:0070567 cytidylyltransferase activity",7,7,0.0232674923089754,0.632047025793068,0.0109060584059597,"hyper","Molecular function"
"633","GO:0043010 camera-type eye development",236,154,0.0232851686257137,0.632047025793068,-0.00330586438871797,"hypo","Biological processes"
"634","GO:0072523 purine-containing compound catabolic process",467,294,0.0234017102006821,0.634208493167383,-0.00610302572355077,"hypo","Biological processes"
"635","GO:0009056 catabolic process",1987,1156,0.0234404154388109,0.634257036330157,-0.00390726196017037,"hypo","Biological processes"
"636","GO:0040013 negative regulation of locomotion",149,100,0.0235650081356074,0.636625738657243,-0.00336098072305691,"hypo","Biological processes"
"637","GO:0008376 acetylgalactosaminyltransferase activity",33,26,0.0237384441421831,0.640144851787169,-0.00596250137702044,"hypo","Molecular function"
"638","GO:0015031 protein transport",1246,729,0.0237859406951817,0.640144851787169,-0.00305842248844417,"hypo","Biological processes"
"639","GO:0046877 regulation of saliva secretion",6,6,0.023807039942498,0.640144851787169,0.00303974912417098,"hyper","Biological processes"
